supplier,scenario,rts,theta,active_criteria,current_price,current_late_pct,current_error_pct,current_lead_days,current_quality_score,current_purchase,target_price,target_late_pct,target_error_pct,target_lead_days,target_quality_score,target_purchase,price_improvement,late_improvement,error_improvement,lead_improvement,quality_gain,purchase_gain,ccr_efficiency
A,balanced_improvement,CCR,0.0,"",1.34,3.0,8.0,5.0,0.6794,5640.8,1.34,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A,cost_led_development,CCR,0.0,"",1.34,3.0,8.0,5.0,0.6794,5640.8,1.34,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A,delivery_reliability_led,CCR,0.0,"",1.34,3.0,8.0,5.0,0.6794,5640.8,1.34,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A,product_quality_led,CCR,0.0,"",1.34,3.0,8.0,5.0,0.6794,5640.8,1.34,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B,balanced_improvement,CCR,0.0,"",1.44,5.0,4.0,4.0,0.6285,38948.61,1.44,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B,cost_led_development,CCR,0.0,"",1.44,5.0,4.0,4.0,0.6285,38948.61,1.44,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B,delivery_reliability_led,CCR,0.0,"",1.44,5.0,4.0,4.0,0.6285,38948.61,1.44,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B,product_quality_led,CCR,0.0,"",1.44,5.0,4.0,4.0,0.6285,38948.61,1.44,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,balanced_improvement,CCR,0.0,"",1.34,1.0,3.0,2.0,0.1073,108124.5,1.34,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,cost_led_development,CCR,0.0,"",1.34,1.0,3.0,2.0,0.1073,108124.5,1.34,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,delivery_reliability_led,CCR,0.0,"",1.34,1.0,3.0,2.0,0.1073,108124.5,1.34,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,product_quality_led,CCR,0.0,"",1.34,1.0,3.0,2.0,0.1073,108124.5,1.34,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,balanced_improvement,CCR,0.0,"",5.1,2.0,3.0,3.0,0.7671,100241.16,5.1,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,cost_led_development,CCR,0.0,"",5.1,2.0,3.0,3.0,0.7671,100241.16,5.1,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,delivery_reliability_led,CCR,0.0,"",5.1,2.0,3.0,3.0,0.7671,100241.16,5.1,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,product_quality_led,CCR,0.0,"",5.1,2.0,3.0,3.0,0.7671,100241.16,5.1,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
I,balanced_improvement,CCR,0.0,"",1.4,1.0,3.0,4.0,0.3522,21985.05,1.4,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
I,cost_led_development,CCR,0.0,"",1.4,1.0,3.0,4.0,0.3522,21985.05,1.4,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
I,delivery_reliability_led,CCR,0.0,"",1.4,1.0,3.0,4.0,0.3522,21985.05,1.4,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
I,product_quality_led,CCR,0.0,"",1.4,1.0,3.0,4.0,0.3522,21985.05,1.4,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
D,balanced_improvement,CCR,0.13915166525966857,"price,late,error,lead,quality",2.01,9.0,3.0,5.0,0.4216,13574.56,1.6866792234867352,2.6873678491963977,2.7247594822957146,2.882064665651953,0.45755801690266484,36971.84808213735,0.32332077651326463,6.312632150803602,0.27524051770428537,2.117935334348047,0.03595801690266487,23397.288082137355,0.781046
D,cost_led_development,CCR,0.14373124289431546,"price,late,error,lead,quality",2.01,9.0,3.0,5.0,0.4216,13574.56,1.3837030179573262,3.2547940698957203,2.962191987482885,3.080614032723251,0.4718391893620532,32921.12653005436,0.6262969820426736,5.74520593010428,0.037808012517114964,1.919385967276749,0.05023918936205324,19346.566530054362,0.781046
D,delivery_reliability_led,CCR,0.09635600315381541,"price,late,error,lead,quality",2.01,9.0,3.0,5.0,0.4216,13574.56,1.9712748682458396,1.8775305167274472,2.4440070918677823,2.7126657164522676,0.425906803160597,39616.598053961694,0.03872513175416015,7.122469483272553,0.5559929081322177,2.2873342835477324,0.004306803160597006,26042.038053961696,0.781046
D,product_quality_led,CCR,0.11538561538461524,"price,late,error,lead,quality",2.01,9.0,3.0,5.0,0.4216,13574.56,2.01,2.846232318116799,3.0,3.1909697668217643,0.5125143732661022,43182.00881538208,0.0,6.153767681883201,0.0,1.8090302331782357,0.09091437326610219,29607.448815382086,0.781046
E,balanced_improvement,CCR,0.12034891038157744,"price,late,error,lead,quality",3.44,4.0,7.0,2.0,0.338,3249.0,2.4612524179874105,1.3620534854687092,1.7299110067307126,1.7299110067307126,0.40705749469917235,49328.73661968949,0.9787475820125895,2.637946514531291,5.270088993269288,0.27008899326928737,0.06905749469917233,46079.73661968949,0.660931
E,cost_led_development,CCR,0.14721714873899266,"price,late,error,lead,quality",3.44,4.0,7.0,2.0,0.338,3249.0,2.0343157947146087,1.9101304607948963,1.9874053215112375,1.9874053215112375,0.4092901856346347,42654.53300965255,1.4056842052853913,2.089869539205104,5.012594678488762,0.0125946784887625,0.07129018563463468,39405.53300965255,0.660931
E,delivery_reliability_led,CCR,0.07142957142857141,"price,late,error,lead,quality",3.44,4.0,7.0,2.0,0.338,3249.0,2.5765346474104693,1.0104057440825371,1.5156086161238056,1.5156086161238056,0.3875411231428571,50642.12192874833,0.8634653525895306,2.9895942559174626,5.484391383876194,0.4843913838761944,0.04954112314285708,47393.12192874833,0.660931
E,product_quality_led,CCR,0.11538561538461538,"price,late,error,lead,quality",3.44,4.0,7.0,2.0,0.338,3249.0,3.1339687577389372,1.229007355976054,1.8435110339640808,1.8435110339640808,0.47138577138461546,61598.56150578629,0.3060312422610627,2.770992644023946,5.156488966035919,0.15648896603591922,0.13338577138461544,58349.56150578629,0.660931
C,balanced_improvement,CCR,0.12022996013075667,"price,late,error,lead,quality",2.13,6.0,6.0,4.0,0.4359,2714.73,1.623355749721851,3.305060687966426,3.75254692785175,3.256996123632839,0.5329636933913812,33911.99916652655,0.506644250278149,2.694939312033574,2.24745307214825,0.7430038763671609,0.09706369339138116,31197.26916652655,0.641729
C,cost_led_development,CCR,0.11560192212279195,"price,late,error,lead,quality",2.13,6.0,6.0,4.0,0.4359,2714.73,1.2792943707587512,3.897815457708518,4.445822418890116,3.8374957178753837,0.5667278029681072,27163.31622579713,0.8507056292412487,2.102184542291482,1.554177581109884,0.16250428212461632,0.1308278029681072,24448.58622579713,0.641729
C,delivery_reliability_led,CCR,0.0852122669834323,"price,late,error,lead,quality",2.13,6.0,6.0,4.0,0.4359,2714.73,1.9421570474385312,2.196300150179014,3.1582426067970832,2.771492094127838,0.4718872449813618,36947.180884009984,0.18784295256146866,3.803699849820986,2.8417573932029168,1.2285079058721622,0.0359872449813618,34232.45088400998,0.641729
C,product_quality_led,CCR,0.11728619536089008,"price,late,error,lead,quality",2.13,6.0,6.0,4.0,0.4359,2714.73,2.13,3.937075485587252,3.759867400170482,3.593740593369445,0.6221757521287002,47835.06819273874,0.0,2.062924514412748,2.240132599829518,0.40625940663055493,0.18627575212870023,45120.33819273874,0.641729
K,balanced_improvement,CCR,0.12253555042708063,"price,late,error,lead,quality",1.33,3.0,3.0,7.0,0.2691,2245.0,1.024283988176355,2.125215746990413,2.3457793908612143,2.4959326974825253,0.34099319085936397,22266.33428106646,0.30571601182364505,0.8747842530095871,0.6542206091387857,4.504067302517475,0.07189319085936396,20021.33428106646,0.591798
K,cost_led_development,CCR,0.12373160956120843,"price,late,error,lead,quality",1.33,3.0,3.0,7.0,0.2691,2245.0,0.8197281799544343,2.6044779347696076,2.704202852814702,2.411186076230646,0.3628497140261794,18709.308622825243,0.5102718200455658,0.39552206523039235,0.29579714718529804,4.588813923769354,0.09374971402617938,16464.308622825243,0.591798
K,delivery_reliability_led,CCR,0.08607804417678341,"price,late,error,lead,quality",1.33,3.0,3.0,7.0,0.2691,2245.0,1.2201130819485835,1.3894929923004513,1.8924868387382072,1.9765974990227235,0.29494137194938636,24046.702352072614,0.1098869180514166,1.6105070076995487,1.1075131612617928,5.0234025009772765,0.02584137194938635,21801.702352072614,0.591798
K,product_quality_led,CCR,0.10831441004336634,"price,late,error,lead,quality",1.33,3.0,3.0,7.0,0.2691,2245.0,1.3300000000000003,2.3723418011311734,3.0,2.707761934578496,0.4145061935810053,26424.7224699318,-2.220446049250313e-16,0.6276581988688266,0.0,4.292238065421504,0.14540619358100532,24179.7224699318,0.591798
J,balanced_improvement,CCR,0.1179024720571267,"price,late,error,lead,quality",1.5,6.0,4.0,7.0,0.3421,12091.1,1.183798168576132,3.3258862301958367,3.0862408506538523,3.085773481350291,0.4614754728090383,28635.596865868556,0.31620183142386793,2.6741137698041633,0.9137591493461477,3.914226518649709,0.11937547280903826,16544.496865868554,0.540516
J,cost_led_development,CCR,0.13813775264825856,"price,late,error,lead,quality",1.5,6.0,4.0,7.0,0.3421,12091.1,1.033716737009167,3.221313224424121,3.8238567957160043,3.155924894192768,0.47222434358693677,21146.02075542755,0.4662832629908329,2.778686775575879,0.17614320428399566,3.844075105807232,0.13012434358693675,9054.92075542755,0.540516
J,delivery_reliability_led,CCR,0.08557477469592181,"price,late,error,lead,quality",1.5,6.0,4.0,7.0,0.3421,12091.1,1.3888813640521462,2.1043539721213023,2.5359359018999976,2.535291971804802,0.3840505467265588,28467.714496569963,0.11111863594785376,3.8956460278786977,1.4640640981000024,4.464708028195198,0.04195054672655879,16376.614496569962,0.540516
J,product_quality_led,CCR,0.11700314203052618,"price,late,error,lead,quality",1.5,6.0,4.0,7.0,0.3421,12091.1,1.5,4.090725526551883,3.679275121677356,3.510319305590421,0.5648641918149132,36388.966710159024,0.0,1.909274473448117,0.3207248783226442,3.489680694409579,0.2227641918149132,24297.866710159025,0.540516
F,balanced_improvement,CCR,0.11898773437896945,"price,late,error,lead,quality",2.98,4.0,6.0,4.0,0.3934,2503.0,2.0872100145142336,2.7952184510432585,3.3791435230107334,3.0023705033806194,0.53171737518141,42164.59204818676,0.8927899854857664,1.2047815489567415,2.6208564769892666,0.9976294966193806,0.13831737518141002,39661.59204818676,0.535331
F,cost_led_development,CCR,0.12617536882373245,"price,late,error,lead,quality",2.98,4.0,6.0,4.0,0.3934,2503.0,1.57048935235843,3.527586333882832,4.140931529957675,3.999472709643918,0.5625309120742462,32846.338734917925,1.40951064764157,0.47241366611716806,1.8590684700423248,0.0005272903560817888,0.1691309120742462,30343.338734917925,0.535331
F,delivery_reliability_led,CCR,0.0774145239983107,"price,late,error,lead,quality",2.98,4.0,6.0,4.0,0.3934,2503.0,2.482196694854495,1.7931994001414233,2.4965422112627147,2.2998471733754244,0.4705232290278133,48603.54739705835,0.4978033051455051,2.2068005998585765,3.5034577887372853,1.7001528266245756,0.07712322902781327,46100.54739705835,0.535331
F,product_quality_led,CCR,0.11286382082596579,"price,late,error,lead,quality",2.98,4.0,6.0,4.0,0.3934,2503.0,2.9800000000000004,3.263634411823957,3.5720793624639686,3.3906006733897245,0.6577956117282815,61989.246891230534,-4.440892098500626e-16,0.7363655881760431,2.4279206375360314,0.6093993266102755,0.26439561172828147,59486.246891230534,0.535331
L,balanced_improvement,CCR,0.11617643445467929,"price,late,error,lead,quality",1.94,9.0,6.0,7.0,0.4372,14723.0,1.5159390219522582,4.288648043075181,4.430047183170194,4.180431815660351,0.6145018096222005,34512.1862688911,0.4240609780477418,4.711351956924819,1.5699528168298063,2.8195681843396487,0.1773018096222005,19789.1862688911,0.508233
L,cost_led_development,CCR,0.13889305613366595,"price,late,error,lead,quality",1.94,9.0,6.0,7.0,0.4372,14723.0,1.3297234949470789,3.833238343980896,5.722483050250374,4.299683563608058,0.6252088214423893,21451.891044749187,0.6102765050529211,5.166761656019104,0.27751694974962593,2.700316436391942,0.18800882144238934,6728.891044749187,0.508233
L,delivery_reliability_led,CCR,0.08409710698701664,"price,late,error,lead,quality",1.94,9.0,6.0,7.0,0.4372,14723.0,1.7790954543390745,2.702839604320613,3.514210114909752,3.3691237795686884,0.5044749170495669,35209.073242371946,0.1609045456609255,6.297160395679387,2.485789885090248,3.6308762204313116,0.06727491704956695,20486.073242371946,0.508233
L,product_quality_led,CCR,0.11678290425376987,"price,late,error,lead,quality",1.94,9.0,6.0,7.0,0.4372,14723.0,1.94,5.331598422171301,5.382801234506309,4.836826012453005,0.7614328561804933,44253.87268347347,0.0,3.668401577828699,0.6171987654936908,2.163173987546995,0.3242328561804933,29530.87268347347,0.508233
